region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
Singapore,989.47,1054.5,2195.35,405.35,465.13,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Slovakia,332.03,344.52,738.62,137.39,154.7,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Slovenia,391.78,411.12,851.38,164.97,185.49,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Solomon Islands,26.21,26.93,58.6,10.36,12.41,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Somalia,NA,NA,NA,NA,NA,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
South Africa,125.5,129.99,283.55,51.71,61.48,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Spain,480.04,490.99,1052.74,183.95,226.45,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sri Lanka,54.3,55.71,117.83,21.31,24.63,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sudan,23.54,25.23,56.31,9.37,11.9,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Suriname,91.74,96.43,197.03,38.61,44.03,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Swaziland,56.34,59.32,126.12,22.23,27,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sweden,623.82,656.12,1453.55,258.86,296.01,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Switzerland,808.04,846.91,1900.34,311.94,392.49,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Syrian Arab Republic,62.76,65.39,144.44,23.82,30.91,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tajikistan,17.3,18.01,38.69,6.59,8.34,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Thailand,105.41,109.46,238.26,41.54,49.11,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
The former Yugoslav Republic of Macedonia,137.85,147.55,328.23,57.38,72.3,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Timor-Leste,12.92,13.74,28.79,5.02,6.21,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Togo,7.39,7.48,15.43,2.98,3.2,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tonga,48,50.34,110.47,19.45,23.49,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Trinidad and Tobago,380.45,392.75,837.77,154,178.05,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tunisia,114.15,119.78,260,47.7,53.91,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Turkey,211.04,219.4,483.51,85.18,103.95,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Turkmenistan,95.37,102.01,213.35,39.54,47.78,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tuvalu,25.49,26.76,59.64,10.8,12.64,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Uganda,10.25,10.71,23.83,4.08,4.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ukraine,75.05,76.56,168.67,30.81,34.02,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United Arab Emirates,676.46,719.15,1625.1,272.51,357.52,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United Kingdom,549.57,570.07,1265.39,217.32,267.32,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United Republic of Tanzania,11.57,12.47,25.27,4.65,5.5,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United States of America,764.62,788.5,1700.93,293.85,381.24,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Uruguay,180.95,193.04,400.45,78.81,88.93,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Uzbekistan,30.64,32.15,69.1,12.52,14.31,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Vanuatu,46.3,48.68,105.37,17.97,22.59,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Venezuela (Bolivarian Republic of),152.59,155.86,329.75,61.46,70.15,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Viet Nam,30.31,32.66,66.67,12.34,15.07,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Yemen,23.38,24.04,51.24,9.41,11.22,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Zambia,12.9,13.62,29.67,5.12,6.31,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AFRO D,26.96,28.19,57.06,10.93,12.56,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AFRO E,21.94,23.4,51.26,8.92,10.59,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO A,754.85,788.69,1781.51,313.18,355.2,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO B,166.15,173.01,360.09,62.89,77,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO D,77.16,81.21,177.36,30.68,37.58,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Andean Latin America,102.76,107.95,231.15,42.06,50.95,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Australasia,658.24,684.68,1427.48,255.94,316.75,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Caribbean,68.12,72.25,157.93,28.26,34.18,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Asia,70.39,73.95,161.29,29.12,34.27,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Europe,255.23,265.39,576.92,103.27,119.45,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Latin America,161.28,166.11,336.53,64.53,72.33,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Sub-Saharan Africa,19.87,20.84,46.23,8.02,9.57,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EMRO B,241.17,255.94,558.84,96.49,118.44,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EMRO D,35.44,36.57,76.03,14.19,15.74,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO A,564.16,592.41,1283.1,228.28,272.91,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO B,173.75,182.45,386.21,69.51,81.39,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO C,233.97,241.77,554.58,91.72,115.83,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
East Asia,88.32,92.35,181.91,37.3,39.93,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eastern Europe,236.31,237.38,487.2,90.51,104.6,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eastern Sub-Saharan Africa,11.66,12.29,26.25,4.98,5.86,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
High Income Asia Pacific,524.54,553.92,1181.09,206.24,255.82,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
High Income North America,781.82,814.47,1732.33,310.78,388.64,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
North Africa and the Middle East,150.18,156.24,328.9,59.65,71.04,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Oceania,27.91,29.18,63.35,10.93,13.62,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
SEARO B,59.16,63.55,136.25,24.44,29.99,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
SEARO D,32.03,33.66,71.07,12.94,15.55,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
South Asia,31.54,33.3,74.37,12.92,15.26,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southeast Asia,52.6,53.94,110.82,20.6,23.86,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southern Latin America,231.68,240.69,518.58,93.57,112.13,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southern Sub-Saharan Africa,125.04,130.76,281.96,54.27,58.27,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tropical Latin America,142.38,150.05,334.84,56.56,68.44,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
WPRO A,571.95,593.62,1310.7,216.98,272.26,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
WPRO B,91.94,95.76,211.21,35.87,44.23,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Western Europe,572.43,596.28,1296.93,239.95,262.33,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Western Sub-Saharan Africa,17.48,18.29,39.39,6.97,8.24,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Afghanistan,4.35,4.51,9.4,1.62,2,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Albania,107.57,111.37,254.86,42.2,53,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Algeria,97.66,104.21,244.26,38.34,51.83,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Andorra,722.95,742.9,1627.41,293.08,331.86,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Angola,63.6,67.45,145.35,26.16,32.27,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Antigua and Barbuda,283,286.55,603.95,112.37,124.09,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Argentina,221.38,223.8,479.56,88.68,99.51,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Armenia,64.58,67.34,144.85,25.11,33.14,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Australia,697.25,728.99,1448.88,277.68,335.02,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Austria,671.24,704.05,1515.13,276.59,322.22,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Azerbaijan,124.56,130.03,275.22,50.68,57.61,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bahamas,472.7,490.18,1022.39,173.76,216.21,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bahrain,295.65,305.89,685.34,118.35,149.56,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bangladesh,14.55,15.18,32.21,5.64,6.89,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Barbados,328.26,340.65,695.66,127.61,156.63,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belarus,187.46,189.84,407.34,78.66,83,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belgium,623.24,646.13,1338.68,255.99,280.34,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belize,88.79,91.45,203,34.84,43.61,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Benin,13.13,13.57,27.18,5.02,5.8,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
